"","device_id","id_type","latitude","longitude","horizontal_accuracy","timestamp","ip_address","device_os","os_version","user_agent","country","source_id","publisher_id","app_id","location_context","geohash"
"15345","5a930b99-539e-464c-8619-f93a26b7e256","aaid",38.85393,-94.67116,9,1.6e+12,"104.11.176.86","Android","","","US",30,"452e95cc840058a3212ea3ce2e8a35c0704e3b60edae351fc5c64045948e3702","",1,"9yutj9nsd1u2"
"4724","14323aa0-1e9a-47e3-aae1-0474c1bd888c","aaid",35.3386,-80.8019,61,1.6e+12,"172.58.139.62","Android","","","US",31,"17f29b073143d8cd97b5bbe492bdeffec1c5fee55cc1fe2112c8b9335f8b6121","",NA,"dnq9131y70w3"
"21043","A898BD67-F396-441B-A80B-013733CE42C7","idfa",44.9537,-93.09,3,1.6e+12,"184.100.8.164","iOS","","","US",31,"17f29b073143d8cd97b5bbe492bdeffec1c5fee55cc1fe2112c8b9335f8b6121","",NA,"9zvz9xtfmc5x"
"5289","759357e2-5372-4f0f-bbe5-a0865e92efe6","aaid",36.903442,-121.74785,11.54,1.6e+12,"172.58.91.223","Android","10","Dalvik/2.1.0 (Linux; U; Android 10; SM-G965U Build/QP1A.190711.020)","US",18,"2A536D6FFD39F4E4","225AB721E79BDBEC",NA,"9q93vw1fjs22"
"17370","c7ed6300-5550-4398-8a2a-bc8db6ecb5b4","aaid",38.273193,-104.49025,2,1.6e+12,"107.77.165.4","Android","","","US",24,"79181a105bb9a94374311e2cd3400f2a","e934411bff384beee17a76c114c1f014",NA,"9wv9wr2t88qg"
"7408","a17fc829-6b10-459e-9ea3-ceac334d7651","aaid",41.770622,-76.96256,1668.15,1.6e+12,"38.240.252.52","Android","9","Dalvik/2.1.0 (Linux; U; Android 9; LM-G710VM Build/PKQ1.181105.001)","US",18,"2A536D6FFD39F4E4","225AB721E79BDBEC",NA,"dr3m8sjed23g"
"14339","c6076168-1082-40e1-8784-e4ef3e2dfab7","aaid",30.036255,-89.96639,32,1.6e+12,"104.12.120.183","Android","","","US",24,"79181a105bb9a94374311e2cd3400f2a","1c4a3a588a3e2f07ce25ccd0be96812d",NA,"dj24bgbmz5ex"
"19100","1a7e43ae-7796-4348-b7f0-95666f55a763","aaid",42.3888,-83.1895,74,1.6e+12,"172.58.120.60","Android","","","US",31,"17f29b073143d8cd97b5bbe492bdeffec1c5fee55cc1fe2112c8b9335f8b6121","",NA,"dpsc4uxk8jmd"
"22543","5dc5cd8f-d20b-4786-8a69-8acbf681834b","aaid",41.443687,-70.6176,21,1.6e+12,"107.242.117.11","Android","","","US",30,"452e95cc840058a3212ea3ce2e8a35c0704e3b60edae351fc5c64045948e3702","",1,"drmgc09ffxm3"
"22747","55c1eb0d-d6e5-4fed-bec4-1c9e8aa1ac62","aaid",41.76129,-71.22014,13,1.6e+12,"107.242.117.2","Android","","","US",30,"d38cfe38cb5184c11739b5fbe7fc453f4b00c47a345cc96d9db773e44de616ce","",1,"drmme67j4kzx"
"11169","a7b3b2b1-0a09-4b43-bed3-df1dae5dd31a","aaid",37.47649,-87.82014,3,1.6e+12,"","Android","","","US",24,"abdf882c25e08d9ba219fe33f17591fe","e24c17af1c270fd32eee89dc3bcea163",NA,"dn9t1w7k6kpd"
"1448","5cee993b-ad2c-4934-b406-8974d468a652","aaid",39.8974,-82.4071,49,1.6e+12,"174.252.193.58","Android","","","US",31,"17f29b073143d8cd97b5bbe492bdeffec1c5fee55cc1fe2112c8b9335f8b6121","",NA,"dpj6uz0gpqqu"
"20455","7e256ee9-92b9-4347-a6e8-a3bfb8519df9","aaid",44.23466,-85.41735,16,1.6e+12,"","Android","","","US",24,"907602dad23f9b70a59dbfe7c62f0be1","2bfef19b8fdbfe3b5bf0cd388831d0df",NA,"dpg78k8vx6qz"
"17270","cb861e91-86ec-4add-8838-3d436ebc74c6","aaid",47.00901,-119.96451,15,1.6e+12,"107.242.121.6","Android","","","US",24,"79181a105bb9a94374311e2cd3400f2a","a846c617014e07145589e128170e0241",NA,"c26eqjsx26em"
"4244","9fe14131-60d1-41cf-88de-adc6dc8f0194","aaid",31.69194,-106.33855,12,1.6e+12,"","Android","","","US",18,"671552C9107F65B5","",NA,"9tskk1qdumbe"
"2819","dc7e6b08-6fa3-4641-9e82-290f2071a8bd","aaid",39.5348,-82.4096,41,1.6e+12,"45.53.217.42","Android","","","US",31,"17f29b073143d8cd97b5bbe492bdeffec1c5fee55cc1fe2112c8b9335f8b6121","",NA,"dpj2utp4vjhu"
"6813","5e5359de-7d7f-4e04-b204-107aefa71e26","aaid",31.888351,-102.38114,25.61,1.6e+12,"65.111.117.104","Android","11","Dalvik/2.1.0 (Linux; U; Android 11; Pixel 3 XL Build/RP1A.200720.009)","US",18,"2A536D6FFD39F4E4","225AB721E79BDBEC",NA,"9txjqm0747x9"
"1645","75382404-BC07-477E-9372-0228BFC97C89","idfa",40.8547,-73.9218,33,1.6e+12,"69.126.81.245","iOS","","","US",31,"17f29b073143d8cd97b5bbe492bdeffec1c5fee55cc1fe2112c8b9335f8b6121","",NA,"dr72mv7gc5xz"
"17185","cec8a6fe-4902-49f6-b8dd-9b481891ed4e","aaid",28.056103,-82.441635,33,1.6e+12,"100.3.62.78","Android","","","US",24,"79181a105bb9a94374311e2cd3400f2a","cb67945d0c0f27f9d2269daaa320f102",NA,"dhvregrydst7"
"5314","22706aba-4a9c-47b0-b8b8-c45dbabb05e4","aaid",38.602573,-89.96225,9.17,1.6e+12,"47.233.49.18","Android","10","Dalvik/2.1.0 (Linux; U; Android 10; SM-N970U Build/QP1A.190711.020)","US",18,"2A536D6FFD39F4E4","225AB721E79BDBEC",NA,"dnb58g7kr9hx"
"6038","919f4721-f21f-4e4a-97c9-2a15ccf2dd3d","aaid",44.631706,-89.11659,28.1,1.6e+12,"69.129.81.132","Android","8","Dalvik/2.1.0 (Linux; U; Android 8.0.0; SM-G950U1 Build/R16NW)","US",18,"2A536D6FFD39F4E4","225AB721E79BDBEC",NA,"dpbtuhgq8ch6"
"20351","88ebd80f-405a-4aaa-b4a0-63c3653dcc36","aaid",38.821,-78.76453,24,1.6e+12,"","Android","","","US",24,"907602dad23f9b70a59dbfe7c62f0be1","2bfef19b8fdbfe3b5bf0cd388831d0df",NA,"dnzuzejktwb2"
"15430","2C8F493A-D399-4D4F-AEAC-398252B7821C","idfa",43.6627,-116.7,14,1.6e+12,"47.188.203.150","iOS","","","US",31,"17f29b073143d8cd97b5bbe492bdeffec1c5fee55cc1fe2112c8b9335f8b6121","",NA,"9rv02kt9svr6"
"8714","ea8c9581-e249-4bd2-822b-942c3f51067a","aaid",38.252605,-122.01958,13.961,1.6e+12,"","Android","9","","US",1,"a5e0511fc20559149c4a537284dbe886","68c51e782ef7b8c46aa740711859bc8a",1,"9qc1x7sj9f2z"
"1692","18a2bc2a-e115-41a1-b42c-393a5f9536ab","aaid",42.1506,-76.0551,83,1.6e+12,"174.215.216.214","Android","","","US",31,"17f29b073143d8cd97b5bbe492bdeffec1c5fee55cc1fe2112c8b9335f8b6121","",NA,"dr3zv36359rm"
"2995","54E56227-6561-4B79-8D76-608F87C1293B","idfa",33.6194,-111.9556,47,1.6e+12,"184.190.168.134","iOS","","","US",31,"17f29b073143d8cd97b5bbe492bdeffec1c5fee55cc1fe2112c8b9335f8b6121","",NA,"9tbrk2hrjw2k"
"2355","ABFC5685-2589-4227-8269-89833A3384CE","idfa",41.88327,-87.78946,65,1.6e+12,"73.176.179.225","iOS","","","US",18,"2A536D6FFD39F4E4","A02C86BC7AD4759D",NA,"dp3w629etr6w"
"12553","8D6C3AA8-A4C2-4F33-8DAA-9561B695F2DE","idfa",40.706196,-73.66116,65,1.6e+12,"172.58.236.122","iOS","","","US",18,"2A536D6FFD39F4E4","A02C86BC7AD4759D",NA,"dr5xef3df2zs"
